step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
2340,0.00004994,186.24,31.9308,14.2137,17.6335,57839,4393,488
2350,0.00005015,181.61,32.0438,15.5101,17.6097,57421,4714,584
2360,0.00005037,175.85,32.2190,13.8063,17.4725,57518,4710,492
2370,0.00005058,189.08,32.3004,14.3415,18.3838,57524,4685,511
2380,0.00005079,178.98,32.4169,13.8130,17.4432,57470,4664,586
2390,0.00005101,177.92,32.5290,14.3199,17.3622,56950,5103,667
2400,0.00005122,193.16,32.7107,13.1488,17.7612,57344,4828,548
2410,0.00005143,186.95,32.7553,13.4975,17.6210,57337,4764,619
2420,0.00005165,181.24,32.9148,14.4875,18.0303,57410,4791,519
2430,0.00005186,184.88,32.8790,12.9869,17.1545,57169,4949,602
2440,0.00005207,174.37,32.9930,14.1297,17.3326,57172,4918,630
2450,0.00005229,198.20,33.2660,14.9767,17.5252,57616,4658,446
2460,0.00005250,175.23,33.4436,12.6236,16.5645,57092,4995,634
2470,0.00005271,174.28,33.6754,12.7837,17.1814,57620,4647,454
2480,0.00005293,168.22,33.7210,14.1981,17.1323,56844,5231,645
2490,0.00005314,191.02,33.8017,14.7257,18.6519,57585,4623,512
2500,0.00005335,173.21,33.9769,14.2186,17.4169,57420,4737,563
2510,0.00005357,203.88,34.2414,17.2496,17.4875,57608,4634,477
2520,0.00005378,174.52,34.2873,13.8633,18.0033,57076,5060,584
2530,0.00005399,186.34,34.4394,13.6667,16.4051,57194,4956,570
2540,0.00005421,166.08,34.5857,13.9346,18.0631,57768,4511,440
2550,0.00005442,170.57,34.5829,13.4777,18.2702,57486,4722,512
2560,0.00005463,191.04,34.7192,12.3447,17.6353,57479,4734,507
2570,0.00005485,171.03,34.7917,13.0852,17.4601,57423,4741,556
2580,0.00005506,182.97,34.9203,12.8217,18.8758,57738,4548,434
2590,0.00005527,181.84,34.9652,13.2897,18.7980,58189,4188,343
2600,0.00005549,187.59,35.2638,12.4478,18.1652,57659,4604,457
2610,0.00005570,182.09,35.4171,12.4194,18.5181,57651,4554,515
2620,0.00005591,187.25,35.5220,13.0619,18.0213,57197,4940,583
2630,0.00005613,184.21,35.6467,12.4567,17.9790,57001,5046,673
2640,0.00005634,181.02,35.7281,16.6958,17.5349,57199,4926,594
