step,lr,total_its,embed_norm,grad_bb,grad_pfc
3890,0.00008301,472.96,237.3523,6.6054,17.9822
3900,0.00008322,477.96,246.5274,7.4096,17.5919
3910,0.00008343,468.88,248.3533,6.5002,18.4308
3920,0.00008365,479.43,249.2125,6.4233,16.7403
3930,0.00008386,480.00,252.7284,6.5980,17.6773
3940,0.00008407,485.51,252.9556,6.6904,17.1558
3950,0.00008429,480.12,255.7142,6.2786,16.3031
3960,0.00008450,496.17,259.0111,6.7810,18.3866
3970,0.00008471,473.53,256.3720,6.2621,16.8508
3980,0.00008493,479.99,254.5312,6.7825,17.4839
3990,0.00008514,487.53,261.6533,6.8893,17.1168
4000,0.00008535,417.08,258.0151,7.1982,16.9423
4010,0.00008557,411.40,259.1714,7.5518,17.2930
4020,0.00008578,480.97,262.4592,6.5146,17.8661
4030,0.00008599,478.63,263.2841,6.6529,17.2293
4040,0.00008621,490.89,251.3397,7.1275,17.3406
4050,0.00008642,481.98,264.5607,6.4484,18.3447
4060,0.00008663,465.43,249.3034,6.6440,17.0091
4070,0.00008685,472.24,264.3028,6.6565,16.5444
4080,0.00008706,476.98,261.4514,6.6953,17.5582
4090,0.00008727,486.70,255.5034,7.0148,17.1561
4100,0.00008749,489.58,260.6134,6.2618,17.6991
4110,0.00008770,492.21,275.0166,6.4677,16.9389
4120,0.00008791,483.99,271.0500,6.1705,17.6551
4130,0.00008813,483.89,256.4393,7.0303,17.2110
4140,0.00008834,484.85,262.8180,6.3142,16.6095
4150,0.00008855,488.20,272.5396,6.1448,17.8739
4160,0.00008877,485.83,266.4066,7.4517,17.6714
4170,0.00008898,474.00,266.4335,6.2921,16.2909
4180,0.00008919,486.56,269.3266,6.2678,17.7396
4190,0.00008941,480.69,266.6678,6.7510,16.5708
4200,0.00008962,461.51,264.0616,6.3661,18.6088
4210,0.00008983,487.79,259.8459,6.4001,18.1146
4220,0.00009005,492.32,262.6974,7.8931,17.8924
4230,0.00009026,491.87,275.7027,6.4330,17.7360
4240,0.00009047,482.53,264.8161,6.2477,17.6704
4250,0.00009069,482.51,272.3406,6.1100,17.5319
4260,0.00009090,484.65,286.3495,7.2712,16.9171
4270,0.00009111,486.54,283.5768,7.3204,18.1124
4280,0.00009133,494.10,260.6488,6.8524,17.5130
4290,0.00009154,482.62,261.9993,7.4055,17.3988
4300,0.00009175,472.55,264.6522,7.0651,17.3183
4310,0.00009197,485.65,276.5325,6.4881,17.7639
4320,0.00009218,482.98,285.2878,6.0588,18.4810
4330,0.00009239,491.86,272.3542,7.1316,17.4012
4340,0.00009261,471.33,277.2717,6.3826,17.1242
4350,0.00009282,478.58,274.8375,6.4070,17.8470
4360,0.00009303,482.33,276.6268,6.3828,18.1354
4370,0.00009325,478.57,280.2075,6.6090,18.4386
4380,0.00009346,480.95,283.4167,6.7550,17.8152
4390,0.00009367,481.84,290.1603,6.4477,17.8697
4400,0.00009389,485.95,273.6927,6.2457,16.7154
4410,0.00009410,485.95,283.1583,6.1367,17.6252
4420,0.00009431,498.50,276.0516,6.2406,17.6592
4430,0.00009453,483.57,291.7272,6.8183,17.1418
4440,0.00009474,485.63,273.6009,7.7635,17.0810
4450,0.00009495,482.32,278.6617,7.4454,17.4028
4460,0.00009517,478.19,282.7106,6.1804,17.7179
4470,0.00009538,488.01,290.7254,6.7539,17.8115
4480,0.00009559,484.56,291.1335,6.0641,17.2729
4490,0.00009581,477.93,288.9054,5.8110,17.4412
4500,0.00009602,491.11,286.4095,6.9438,17.7336
4510,0.00009623,490.91,283.6662,6.5801,16.5964
4520,0.00009645,480.22,284.1678,6.4690,16.5116
4530,0.00009666,498.33,293.3381,6.3422,16.4814
4540,0.00009687,480.63,273.9138,6.8413,16.7853
4550,0.00009709,493.31,289.9492,6.0362,16.9818
4560,0.00009730,480.68,282.5487,6.1696,16.2161
4570,0.00009751,474.61,284.4878,6.0526,17.3968
4580,0.00009773,479.34,279.8162,6.2233,17.1773
4590,0.00009794,468.06,274.6745,6.8674,17.0459
4600,0.00009815,483.35,282.3353,6.9148,17.2928
4610,0.00009837,470.67,299.5538,7.3407,16.4990
4620,0.00009858,489.95,295.3908,7.9903,17.2112
4630,0.00009879,484.47,301.5175,5.6794,16.8802
4640,0.00009901,492.89,285.8964,6.4523,17.5790
4650,0.00009922,482.62,292.3535,6.1646,17.0842
4660,0.00009943,487.08,285.7344,7.2565,17.2533
4670,0.00009965,474.28,284.0513,7.7895,17.4289
4680,0.00009986,491.65,298.9763,7.2376,17.5768
4690,0.00010007,495.37,294.1537,6.4374,17.2443
4700,0.00010029,488.33,292.8733,7.2046,16.9568
4710,0.00010050,415.51,291.0222,5.8513,16.7743
4720,0.00010071,484.31,302.6267,6.6920,16.7123
4730,0.00010093,486.58,290.9589,5.8688,17.3370
4740,0.00010114,480.07,283.6704,6.7569,16.6822
4750,0.00010135,493.39,287.8171,6.3527,17.1369
4760,0.00010157,472.18,296.7074,6.8237,17.0078
4770,0.00010178,484.71,283.7062,7.0372,16.8971
4780,0.00010199,485.02,291.9683,6.9675,16.8549
4790,0.00010221,482.00,291.8497,7.4755,16.7189
4800,0.00010242,476.20,303.0242,6.0495,16.6143
4810,0.00010263,488.93,303.2346,6.2775,17.4216
4820,0.00010285,484.35,300.4088,6.2178,16.8520
4830,0.00010306,466.59,302.0013,7.3383,17.4975
4840,0.00010327,490.39,293.4131,6.1888,17.5502
4850,0.00010349,492.25,303.4270,7.6715,16.6391
4860,0.00010370,493.39,311.6967,8.6618,16.3377
4870,0.00010391,488.40,292.3006,6.8196,16.8487
4880,0.00010413,483.97,294.8162,6.8636,17.0633
4890,0.00010434,485.44,307.1916,7.6932,16.4114
4900,0.00010455,499.07,302.0734,6.8712,17.6099
4910,0.00010477,487.73,314.2808,8.1717,17.0074
4920,0.00010498,481.15,289.6875,7.5630,17.8471
4930,0.00010519,479.40,303.5802,8.4695,17.0318
4940,0.00010541,497.79,321.8163,6.5325,17.1019
4950,0.00010562,479.70,309.5518,6.3102,17.6053
4960,0.00010583,476.92,306.0034,6.7217,17.5258
4970,0.00010605,495.69,308.8823,6.4064,16.6890
4980,0.00010626,491.18,309.9321,6.5029,17.1416
4990,0.00010647,486.13,303.6454,6.0647,17.4594
