step,lr,total_its,embed_norm,grad_bb,grad_pfc,p16,p32,p64
3310,0.00007063,257.65,38.8804,6.0163,17.4792,57919,4364,436
3320,0.00007085,229.23,38.5598,6.0262,17.8294,57386,4774,559
3330,0.00007106,268.40,39.4325,6.1362,17.2202,57587,4644,489
3340,0.00007127,211.72,39.0475,5.9693,17.0825,57278,4805,637
3350,0.00007149,225.29,38.6087,5.8620,17.5158,57555,4667,499
3360,0.00007170,259.28,39.4214,5.7627,17.3783,57517,4741,462
3370,0.00007191,215.03,39.1647,6.2983,16.8110,57791,4485,444
3380,0.00007213,279.57,39.4080,5.8331,18.6289,57877,4417,426
3390,0.00007234,223.84,40.2849,6.1144,16.8244,57705,4495,520
3400,0.00007255,286.80,39.6769,5.7346,17.5632,57710,4533,476
3410,0.00007277,295.90,40.1136,7.0001,17.2819,57758,4514,448
3420,0.00007298,237.20,39.2385,5.8530,18.1849,57767,4468,485
3430,0.00007319,286.17,39.9301,5.6094,17.3206,57623,4579,518
3440,0.00007341,252.66,40.2755,5.5952,17.7516,57420,4790,510
3450,0.00007362,275.42,39.9113,5.7506,17.7713,57718,4549,454
3460,0.00007383,254.35,40.4166,6.3147,17.8914,57688,4537,496
3470,0.00007405,265.75,41.1995,6.6598,17.2604,57322,4839,560
3480,0.00007426,231.72,40.5721,6.3013,17.3104,57551,4638,532
3490,0.00007447,282.87,39.9584,5.7381,16.8356,57476,4678,565
3500,0.00007469,219.95,41.1727,6.2950,17.9628,57584,4645,491
3510,0.00007490,256.09,41.1684,5.7317,17.0536,57746,4523,451
3520,0.00007511,266.62,40.6425,5.7908,16.8388,57433,4798,489
3530,0.00007533,244.53,40.1652,5.8657,17.4794,57164,4971,585
3540,0.00007554,243.49,39.9670,5.9278,16.7224,57334,4843,543
3550,0.00007575,249.16,41.2637,5.6619,18.0298,57232,4907,582
3560,0.00007597,226.55,40.5300,6.1347,18.0122,56920,5192,607
3570,0.00007618,255.41,40.8286,6.6313,16.9371,57374,4795,551
3580,0.00007639,268.26,41.2933,7.6494,17.8853,57610,4631,478
3590,0.00007661,278.27,40.4783,6.0875,17.8247,57319,4866,535
3600,0.00007682,292.41,41.2757,6.0034,17.5672,57633,4562,526
3610,0.00007703,258.87,41.8879,5.6067,17.3142,57303,4845,572
3620,0.00007725,269.18,41.5292,5.6492,17.0490,57586,4631,503
3630,0.00007746,286.46,39.1329,8.1059,18.2991,57351,4815,554
3640,0.00007767,270.47,41.8057,5.9059,17.1110,57953,4332,435
3650,0.00007789,308.49,42.1266,5.5129,17.6046,57353,4830,537
3660,0.00007810,255.19,40.8895,6.6765,17.9821,57424,4798,498
3670,0.00007831,252.17,41.2553,7.2752,18.1314,57180,4989,551
3680,0.00007853,254.94,42.8689,6.5088,18.3495,58005,4287,428
3690,0.00007874,264.68,40.6197,5.7213,18.2051,57776,4474,469
3700,0.00007895,284.38,42.7934,5.5699,17.5246,57122,5061,537
3710,0.00007917,274.43,42.3317,5.7697,16.2778,57546,4667,507
3720,0.00007938,276.07,42.0153,6.5163,18.3633,57549,4654,517
3730,0.00007959,236.20,41.7240,6.7193,18.1625,57489,4744,487
3740,0.00007981,249.14,41.8400,7.5083,17.9575,57538,4664,518
3750,0.00008002,318.45,42.5882,6.7289,18.1987,57648,4626,447
3760,0.00008023,255.08,43.2788,5.8842,16.9630,57337,4924,459
3770,0.00008045,301.39,41.5458,7.9403,17.6998,57181,5023,516
3780,0.00008066,269.60,42.7533,5.9704,17.9366,57197,4975,548
3790,0.00008087,282.16,43.2438,5.6893,17.3223,57634,4662,423
3800,0.00008109,234.02,42.6640,7.1532,18.3659,57274,4882,564
3810,0.00008130,267.12,43.4971,5.6477,17.7146,57552,4667,501
3820,0.00008151,311.74,43.5309,5.5948,18.4487,57499,4760,461
3830,0.00008173,278.87,41.4574,7.7169,17.4867,57277,4890,552
3840,0.00008194,250.36,43.1975,5.9694,18.0008,57662,4643,415
3850,0.00008215,269.13,43.0488,6.0579,16.6764,57602,4649,469
3860,0.00008237,325.47,43.0530,6.9613,17.8804,57449,4726,545
3870,0.00008258,295.74,43.4506,5.5833,17.6093,57320,4874,526
